"age","job","marital","education","default","housing","loan","contact","label"
"40-","unknown","single","unknown","no","no","no","unknown","no"
"40-","blue-collar","single","primary","no","yes","yes","unknown","no"
"30-","services","married","secondary","no","yes","no","unknown","no"
"60-","technician","married","secondary","no","no","yes","unknown","no"
"60-","management","married","tertiary","no","yes","no","unknown","no"
"60-","technician","divorced","secondary","no","yes","no","unknown","no"
"40-","admin.","divorced","secondary","no","yes","no","unknown","no"
"40-","admin.","single","primary","no","yes","no","unknown","no"
"60-","management","divorced","tertiary","no","yes","no","unknown","no"
"40-","services","married","secondary","no","yes","yes","unknown","no"
"60-","services","divorced","secondary","no","no","no","unknown","no"
"60-","admin.","married","secondary","no","yes","no","unknown","yes"
"50-","technician","married","secondary","no","yes","no","unknown","yes"
"30-","technician","married","secondary","no","yes","yes","unknown","no"
"60-","admin.","married","secondary","no","yes","no","unknown","no"
"60-","entrepreneur","divorced","secondary","no","no","no","unknown","no"
"60-","blue-collar","married","secondary","no","no","no","unknown","no"
"40-","blue-collar","married","primary","no","yes","no","unknown","no"
"60-","retired","divorced","primary","no","yes","no","unknown","no"
"40-","management","single","tertiary","no","yes","no","unknown","no"
"60-","technician","divorced","unknown","no","yes","no","unknown","no"
"30-","admin.","single","secondary","no","yes","yes","unknown","no"
"60-","services","married","secondary","no","yes","no","unknown","yes"
"30-","unemployed","single","tertiary","no","yes","no","unknown","no"
"30-","blue-collar","married","secondary","no","yes","no","unknown","no"
"60-","unemployed","married","tertiary","no","no","no","unknown","no"
"40-","blue-collar","married","secondary","no","yes","no","unknown","no"
"40-","services","married","secondary","no","yes","no","unknown","no"
"50-","blue-collar","married","secondary","no","yes","no","unknown","no"
"30-","admin.","single","secondary","no","yes","no","unknown","no"
"60-","admin.","married","tertiary","no","no","no","unknown","yes"
"40-","services","divorced","unknown","no","yes","no","unknown","no"
"50-","technician","divorced","tertiary","no","no","yes","unknown","no"
"50-","management","married","tertiary","no","yes","no","unknown","no"
"50-","management","married","tertiary","no","yes","no","unknown","no"
"40-","technician","married","tertiary","no","yes","no","unknown","no"
"30-","blue-collar","married","primary","no","yes","no","unknown","no"
"50-","blue-collar","divorced","primary","no","yes","yes","unknown","no"
"50-","management","single","tertiary","no","yes","no","unknown","no"
"40-","blue-collar","married","primary","no","yes","no","unknown","no"
"60-","entrepreneur","divorced","secondary","no","yes","no","unknown","no"
"60-","blue-collar","married","secondary","no","yes","no","unknown","no"
"50-","entrepreneur","married","primary","no","yes","no","unknown","no"
"50-","blue-collar","married","primary","no","yes","yes","unknown","no"
"60-","retired","married","secondary","no","yes","no","unknown","no"
"50-","services","married","secondary","no","no","no","unknown","no"
"40-","admin.","single","secondary","no","yes","no","unknown","no"
"40-","blue-collar","single","secondary","no","yes","no","unknown","no"
"60-","technician","married","unknown","no","yes","no","unknown","no"
"50-","blue-collar","married","secondary","no","no","no","unknown","no"
"40-","services","single","secondary","no","yes","no","unknown","no"
"50-","management","divorced","secondary","no","yes","no","unknown","no"
"40-","blue-collar","married","secondary","no","yes","no","unknown","no"
"50-","admin.","single","tertiary","no","yes","no","unknown","no"
"60-","admin.","married","secondary","no","yes","no","unknown","no"
"50-","management","divorced","tertiary","no","yes","no","unknown","no"
"30-","admin.","single","secondary","no","yes","no","unknown","no"
"50-","services","married","secondary","no","yes","yes","unknown","no"
"40-","blue-collar","married","secondary","no","yes","no","unknown","no"
"60-","services","married","secondary","no","yes","yes","unknown","no"
"60-","management","married","tertiary","no","yes","yes","unknown","yes"
"60-","retired","divorced","secondary","no","yes","no","unknown","yes"
"40-","technician","single","secondary","no","yes","yes","unknown","no"
"40-","technician","married","secondary","no","yes","no","unknown","no"
"50-","unemployed","married","secondary","no","yes","no","unknown","no"
"50-","management","single","tertiary","no","yes","no","unknown","no"
"40-","blue-collar","married","secondary","no","yes","no","unknown","no"
"40-","technician","single","tertiary","no","yes","no","unknown","no"
"40-","technician","single","unknown","no","yes","no","unknown","yes"
"40-","services","single","secondary","no","yes","no","unknown","no"
"40-","services","married","secondary","no","no","no","unknown","no"
"40-","admin.","single","secondary","no","yes","yes","unknown","no"
"40-","technician","married","secondary","no","yes","no","unknown","yes"
"40-","admin.","married","secondary","no","no","no","unknown","yes"
"50-","technician","married","secondary","no","yes","yes","unknown","no"
"50-","blue-collar","divorced","secondary","no","yes","no","unknown","no"
"40-","management","single","tertiary","no","yes","yes","unknown","no"
"30-","admin.","single","secondary","no","yes","no","unknown","no"
"60-","unemployed","divorced","secondary","no","yes","no","unknown","yes"
"50-","technician","married","primary","no","yes","no","unknown","no"
