if contact = unknown and marital = married then no  (974 / 251)
if housing = no and loan = no then yes  (1517 / 2883)
if contact = unknown and loan = yes then no  (84 / 23)
if contact = unknown and job = admin. then no  (56 / 18)
if marital = married and job = blue-collar then no  (373 / 212)
if contact = unknown and job = services then no  (46 / 19)
if contact = unknown and age = 40- then no  (108 / 50)
if marital = married and loan = yes then no  (285 / 167)
if age = 50- and contact = unknown then no  (60 / 27)
if age = 50- and marital = married then no  (172 / 120)
if education = secondary and age = 40- then no  (355 / 288)
if age = 60- and contact = unknown then no  (36 / 15)
if age = 50- and job = management then no  (41 / 23)
if education = tertiary and marital = single then yes  (185 / 257)
if loan = no and marital = single then no  (213 / 167)
if job = self-employed and marital = married then no  (22 / 3)
if age = 70- and education = tertiary then yes  (0 / 10)
if age = 60- and education = tertiary then no  (44 / 35)
if job = management and contact = telephone then yes  (4 / 9)
if job = services and marital = married then no  (40 / 19)
if job = admin. and loan = yes then yes  (19 / 28)
if marital = married and education = secondary then yes  (45 / 58)
else no  (9 / 9)
